region,scan_type,x,y,wavelength,voltage,gain
REF,reference,0.0,0.0,600.0,7.883495882842021,0
REF,reference,0.0,0.0,633.3333333333334,4.8645122190022665,0
REF,reference,0.0,0.0,666.6666666666666,4.582079260691363,0
REF,reference,0.0,0.0,700.0,9.75294090044692,0
REF,reference,0.0,0.0,733.3333333333334,8.281032650470388,0
REF,reference,0.0,0.0,766.6666666666667,8.538523077291325,0
A,sample,0.5,0.0,600.0,7.043820995362533,0
A,sample,0.5,0.0,633.3333333333334,3.1298352466794013,0
A,sample,0.5,0.0,666.6666666666666,3.570770893159655,0
A,sample,0.5,0.0,700.0,1.4170184412128206,0
A,sample,0.5,0.0,733.3333333333334,1.096297783043244,0
A,sample,0.5,0.0,766.6666666666667,5.414467738016315,0
B,sample,1.0,0.0,600.0,4.647382193644908,0
B,sample,1.0,0.0,633.3333333333334,1.964020467534614,0
B,sample,1.0,0.0,666.6666666666666,7.518552112369839,0
B,sample,1.0,0.0,700.0,6.380487688908309,0
B,sample,1.0,0.0,733.3333333333334,2.4325728160980464,0
B,sample,1.0,0.0,766.6666666666667,0.29551647660896463,0
