region,scan_type,x,y,wavelength,voltage,gain
REF,reference,0.0,0.0,600.0,5.566593494872795,0
REF,reference,0.0,0.0,633.3333333333334,6.603510282540901,0
REF,reference,0.0,0.0,666.6666666666666,7.220430334530044,0
REF,reference,0.0,0.0,700.0,6.545552112906486,0
REF,reference,0.0,0.0,733.3333333333334,5.057548827565144,0
REF,reference,0.0,0.0,766.6666666666667,8.61229864805071,0
A,sample,0.5,0.0,600.0,5.558818660595267,0
A,sample,0.5,0.0,633.3333333333334,4.080619316207761,0
A,sample,0.5,0.0,666.6666666666666,5.060590963731408,0
A,sample,0.5,0.0,700.0,4.289133572632262,0
A,sample,0.5,0.0,733.3333333333334,4.275327699376234,0
A,sample,0.5,0.0,766.6666666666667,2.3203958398969924,0
B,sample,1.0,0.0,600.0,5.658603836501621,0
B,sample,1.0,0.0,633.3333333333334,3.0248687945477,0
B,sample,1.0,0.0,666.6666666666666,5.629012344104905,0
B,sample,1.0,0.0,700.0,6.609563042412608,0
B,sample,1.0,0.0,733.3333333333334,4.316382193404531,0
B,sample,1.0,0.0,766.6666666666667,3.7589980880156366,0
