region,x,y,side,IW_Theta,IP_Theta,CW_Theta,CP_Theta,wavelength,intensity,integration_time
A,0.0,0.0,x,0,-45,-45,-45,398.7626953125,1632.0,500000
A,0.0,0.0,x,0,-45,-45,-45,399.55195997711417,1617.0,500000
A,0.0,0.0,x,0,-45,-45,-45,400.34115237221704,1613.0,500000
A,0.0,0.0,x,0,-45,-45,-45,401.1302724978086,1608.0,500000
A,0.0,0.0,x,0,-45,-45,-45,401.9193203538889,1618.0,500000
A,0.0,0.0,x,0,-45,-45,-45,402.7082959404579,1625.0,500000
A,0.0,0.0,x,0,-45,-45,-45,403.4971992575156,1627.0,500000
A,0.0,0.0,x,0,-45,-45,-45,404.286030305062,1643.0,500000
A,0.0,0.0,x,0,-45,-45,-45,405.07478908309713,1670.0,500000
A,0.0,0.0,x,0,-45,-45,-45,405.86347559162095,1683.0,500000
A,0.0,0.0,x,0,-45,-45,-45,406.6520898306335,1647.0,500000
A,0.0,0.0,x,0,-45,-45,-45,407.4406318001347,1638.0,500000
A,0.0,0.0,x,0,-45,-45,-45,408.22910150012467,1631.0,500000
A,0.0,0.0,x,0,-45,-45,-45,409.0174989306033,1640.0,500000
A,0.0,0.0,x,0,-45,-45,-45,409.8058240915707,1635.0,500000
A,0.0,0.0,x,0,-45,-45,-45,410.59407698302675,1633.0,500000
A,0.0,0.0,x,0,-45,-45,-45,411.3822576049715,1636.0,500000
A,0.0,0.0,x,0,-45,-45,-45,412.170365957405,1634.0,500000
A,0.0,0.0,x,0,-45,-45,-45,412.9584020403272,1639.0,500000
A,0.0,0.0,x,0,-45,-45,-45,413.7463658537381,1641.0,500000
A,0.0,0.0,x,0,-45,-45,-45,414.5342573976377,1642.0,500000
A,0.0,0.0,x,0,-45,-45,-45,415.322076672026,1649.0,500000
A,0.0,0.0,x,0,-45,-45,-45,416.10982367690303,1642.0,500000
A,0.0,0.0,x,0,-45,-45,-45,416.89749841226876,1653.0,500000
A,0.0,0.0,x,0,-45,-45,-45,417.6851008781232,1651.0,500000
A,0.0,0.0,x,0,-45,-45,-45,418.47263107446634,1657.0,500000
A,0.0,0.0,x,0,-45,-45,-45,419.2600890012982,1658.0,500000
A,0.0,0.0,x,0,-45,-45,-45,420.04747465861874,1663.0,500000
A,0.0,0.0,x,0,-45,-45,-45,420.834788046428,1664.0,500000
A,0.0,0.0,x,0,-45,-45,-45,421.622029164726,1672.0,500000
A,0.0,0.0,x,0,-45,-45,-45,422.40919801351265,1672.0,500000
A,0.0,0.0,x,0,-45,-45,-45,423.19629459278804,1671.0,500000
A,0.0,0.0,x,0,-45,-45,-45,423.9833189025521,1679.0,500000
A,0.0,0.0,x,0,-45,-45,-45,424.7702709428049,1679.0,500000
A,0.0,0.0,x,0,-45,-45,-45,425.55715071354643,1683.0,500000
A,0.0,0.0,x,0,-45,-45,-45,426.34395821477665,1680.0,500000
A,0.0,0.0,x,0,-45,-45,-45,427.13069344649557,1692.0,500000
A,0.0,0.0,x,0,-45,-45,-45,427.9173564087032,1686.0,500000
A,0.0,0.0,x,0,-45,-45,-45,428.70394710139954,1694.0,500000
A,0.0,0.0,x,0,-45,-45,-45,429.4904655245846,1696.0,500000
A,0.0,0.0,x,0,-45,-45,-45,430.27691167825833,1695.0,500000
A,0.0,0.0,x,0,-45,-45,-45,431.0632855624208,1701.0,500000
A,0.0,0.0,x,0,-45,-45,-45,431.84958717707195,1700.0,500000
A,0.0,0.0,x,0,-45,-45,-45,432.6358165222118,1704.0,500000
A,0.0,0.0,x,0,-45,-45,-45,433.4219735978404,1707.0,500000
A,0.0,0.0,x,0,-45,-45,-45,434.2080584039577,1743.0,500000
A,0.0,0.0,x,0,-45,-45,-45,434.9940709405637,1926.0,500000
A,0.0,0.0,x,0,-45,-45,-45,435.7800112076584,2399.0,500000
A,0.0,0.0,x,0,-45,-45,-45,436.5658792052418,2933.0,500000
A,0.0,0.0,x,0,-45,-45,-45,437.3516749333139,2680.0,500000
A,0.0,0.0,x,0,-45,-45,-45,438.13739839187474,1909.0,500000
A,0.0,0.0,x,0,-45,-45,-45,438.92304958092427,1733.0,500000
A,0.0,0.0,x,0,-45,-45,-45,439.7086285004625,1706.0,500000
A,0.0,0.0,x,0,-45,-45,-45,440.49413515048946,1712.0,500000
A,0.0,0.0,x,0,-45,-45,-45,441.2795695310051,1709.0,500000
